date,modal_price,min_price,max_price
2026-05-11,2524.84,2307.56,2660.55
2026-05-12,2517.46,2209.08,2727.62
2026-05-13,2550.54,2355.8,2936.96
2026-05-14,2626.48,2466.84,2792.06
2026-05-15,2611.5,2329.96,2753.75
2026-05-16,2597.96,2265.07,2924.79
2026-05-17,2637.2,2273.575,2907.44
2026-05-18,2676.44,2282.08,2890.09
2026-05-19,2711.0,2480.53,3068.15
2026-05-20,2682.55,2339.3,3053.79
2026-05-21,2706.62,2519.71,2844.59
2026-05-22,2679.61,2493.6,3094.2
2026-05-23,2654.2,2346.38,2848.81
2026-05-24,2659.9599999999996,2433.705,2891.205
2026-05-25,2665.72,2521.03,2933.6
2026-05-26,2569.11,2207.57,2734.84
2026-05-27,2486.86,2324.59,2836.41
2026-05-28,2466.91,2295.98,2860.28
2026-05-29,2425.38,2191.63,2900.68
2026-05-30,2452.16,2177.16,2777.82
2026-05-31,2434.2200000000003,2215.705,2769.545
2026-06-01,2416.28,2254.25,2761.27
2026-06-02,2356.7,2206.27,2678.63
2026-06-03,2443.65,2249.28,2582.63
2026-06-04,2441.24,2130.69,2669.27
2026-06-05,2453.13,2104.73,2661.45
2026-06-06,2389.26,2055.0,2608.35
2026-06-07,2380.62,2110.9849999999997,2614.37
2026-06-08,2371.98,2166.97,2620.39
2026-06-09,2387.68,2117.92,2582.1
2026-06-10,2338.8,2050.42,2784.34
2026-06-11,2367.96,2166.22,2702.72
2026-06-12,2346.09,2034.33,2719.98
2026-06-13,2339.98,2027.22,2590.17
2026-06-14,2328.94,2113.4,2623.24
2026-06-15,2317.9,2199.58,2656.31
2026-06-16,2418.83,2190.72,2788.17
2026-06-17,2420.66,2261.59,2823.46
2026-06-18,2369.42,2068.28,2499.3
2026-06-19,2414.03,2128.08,2631.68
2026-06-20,2353.53,2050.16,2804.08
2026-06-21,2360.21,2134.72,2700.52
2026-06-22,2366.89,2219.28,2596.96
2026-06-23,2270.55,2078.79,2518.82
2026-06-24,2210.04,2080.65,2472.65
2026-06-25,2228.31,1953.09,2422.16
2026-06-26,2272.32,2059.03,2475.49
2026-06-27,2285.42,2076.21,2707.48
2026-06-28,2284.33,2054.08,2590.0
2026-06-29,2283.24,2031.95,2472.52
2026-06-30,2271.68,2157.54,2558.89
2026-07-01,2201.71,1891.47,2327.36
2026-07-02,2173.14,1871.0,2486.33
2026-07-03,2158.99,2006.15,2403.66
2026-07-04,2221.56,1902.44,2459.81
2026-07-05,2233.545,2017.41,2497.92
2026-07-06,2245.53,2132.38,2536.03
2026-07-07,2163.25,2048.83,2550.72
2026-07-08,2189.8,1863.84,2536.03
2026-07-09,2179.98,2001.59,2464.57
2026-07-10,2156.56,1890.62,2471.73
2026-07-11,2199.3,1893.94,2452.69
2026-07-12,2230.3900000000003,1959.405,2575.4
2026-07-13,2261.48,2024.87,2698.11
2026-07-14,2316.22,2171.65,2523.54
2026-07-15,2280.4,2052.49,2455.53
2026-07-16,2273.6,2140.06,2684.16
2026-07-17,2299.92,2023.57,2635.35
2026-07-18,2357.92,2147.82,2529.87
2026-07-19,2349.49,2158.115,2588.6949999999997
2026-07-20,2341.06,2168.41,2647.52
2026-07-21,2340.51,2171.67,2643.73
2026-07-22,2294.73,1950.65,2521.04
2026-07-23,2247.5,1914.75,2673.1
2026-07-24,2303.8,2160.67,2706.39
2026-07-25,2385.17,2100.74,2525.15
2026-07-26,2388.4449999999997,2171.85,2688.09
2026-07-27,2391.72,2242.96,2851.03
2026-07-28,2452.33,2105.49,2753.72
2026-07-29,2478.37,2123.77,2885.05
2026-07-30,2453.26,2273.15,2623.17
2026-07-31,2480.17,2226.02,2808.72
2026-08-01,2564.91,2248.16,3028.81
2026-08-02,2565.96,2269.37,2902.8599999999997
2026-08-03,2567.01,2290.58,2776.91
2026-08-04,2649.22,2394.71,3071.74
2026-08-05,2518.24,2191.16,2761.9
2026-08-06,2565.92,2436.38,2944.35
2026-08-07,2574.43,2301.05,2903.02
2026-08-08,2563.1,2209.65,2777.64
2026-08-09,2567.38,2241.255,2852.41
2026-08-10,2571.66,2272.86,2927.18
2026-08-11,2475.55,2161.18,2681.1
2026-08-12,2472.29,2119.0,2829.94
2026-08-13,2497.6,2180.14,2961.69
2026-08-14,2577.19,2412.16,2733.44
2026-08-15,2552.43,2230.31,2936.18
2026-08-16,2533.1099999999997,2210.4449999999997,2812.7749999999996
2026-08-17,2513.79,2190.58,2689.37
2026-08-18,2491.77,2351.11,2829.79
2026-08-19,2541.0,2279.96,2967.11
2026-08-20,2557.7,2380.58,2758.64
2026-08-21,2529.89,2174.93,2819.96
2026-08-22,2554.84,2279.83,2861.56
2026-08-23,2555.895,2319.83,2902.31
2026-08-24,2556.95,2359.83,2943.06
2026-08-25,2601.75,2467.54,2770.25
2026-08-26,2560.0,2279.07,2818.29
2026-08-27,2538.3,2376.27,2759.89
2026-08-28,2513.73,2184.48,2808.57
2026-08-29,2436.12,2173.48,2659.71
2026-08-30,2442.915,2158.4649999999997,2785.585
2026-08-31,2449.71,2143.45,2911.46
2026-09-01,2460.26,2200.24,2901.14
2026-09-02,2456.93,2223.6,2598.42
2026-09-03,2441.29,2319.05,2869.5
