state,district,market,commodity,variety,arrival_date,min_price,max_price,modal_price
Maharashtra,Pune,Pune,Tomato,Local / Hybrid,11/05/2026,2307.56,2660.55,2524.84
Maharashtra,Pune,Pune,Tomato,Local / Hybrid,12/05/2026,2209.08,2727.62,2517.46
Maharashtra,Pune,Pune,Tomato,Local / Hybrid,13/05/2026,2355.8,2936.96,2550.54
Maharashtra,Pune,Pune,Tomato,Local / Hybrid,14/05/2026,2466.84,2792.06,2626.48
Maharashtra,Pune,Pune,Tomato,Local / Hybrid,15/05/2026,2329.96,2753.75,2611.5
Maharashtra,Pune,Pune,Tomato,Local / Hybrid,16/05/2026,2265.07,2924.79,2597.96
Maharashtra,Pune,Pune,Tomato,Local / Hybrid,18/05/2026,2282.08,2890.09,2676.44
Maharashtra,Pune,Pune,Tomato,Local / Hybrid,19/05/2026,2480.53,3068.15,2711.0
Maharashtra,Pune,Pune,Tomato,Local / Hybrid,20/05/2026,2339.3,3053.79,2682.55
Maharashtra,Pune,Pune,Tomato,Local / Hybrid,21/05/2026,2519.71,2844.59,2706.62
Maharashtra,Pune,Pune,Tomato,Local / Hybrid,22/05/2026,2493.6,3094.2,2679.61
Maharashtra,Pune,Pune,Tomato,Local / Hybrid,23/05/2026,2346.38,2848.81,2654.2
Maharashtra,Pune,Pune,Tomato,Local / Hybrid,25/05/2026,2521.03,2933.6,2665.72
Maharashtra,Pune,Pune,Tomato,Local / Hybrid,26/05/2026,2207.57,2734.84,2569.11
Maharashtra,Pune,Pune,Tomato,Local / Hybrid,27/05/2026,2324.59,2836.41,2486.86
Maharashtra,Pune,Pune,Tomato,Local / Hybrid,28/05/2026,2295.98,2860.28,2466.91
Maharashtra,Pune,Pune,Tomato,Local / Hybrid,29/05/2026,2191.63,2900.68,2425.38
Maharashtra,Pune,Pune,Tomato,Local / Hybrid,30/05/2026,2177.16,2777.82,2452.16
Maharashtra,Pune,Pune,Tomato,Local / Hybrid,01/06/2026,2254.25,2761.27,2416.28
Maharashtra,Pune,Pune,Tomato,Local / Hybrid,02/06/2026,2206.27,2678.63,2356.7
Maharashtra,Pune,Pune,Tomato,Local / Hybrid,03/06/2026,2249.28,2582.63,2443.65
Maharashtra,Pune,Pune,Tomato,Local / Hybrid,04/06/2026,2130.69,2669.27,2441.24
Maharashtra,Pune,Pune,Tomato,Local / Hybrid,05/06/2026,2104.73,2661.45,2453.13
Maharashtra,Pune,Pune,Tomato,Local / Hybrid,06/06/2026,2055.0,2608.35,2389.26
Maharashtra,Pune,Pune,Tomato,Local / Hybrid,08/06/2026,2166.97,2620.39,2371.98
Maharashtra,Pune,Pune,Tomato,Local / Hybrid,09/06/2026,2117.92,2582.1,2387.68
Maharashtra,Pune,Pune,Tomato,Local / Hybrid,10/06/2026,2050.42,2784.34,2338.8
Maharashtra,Pune,Pune,Tomato,Local / Hybrid,11/06/2026,2166.22,2702.72,2367.96
Maharashtra,Pune,Pune,Tomato,Local / Hybrid,12/06/2026,2034.33,2719.98,2346.09
Maharashtra,Pune,Pune,Tomato,Local / Hybrid,13/06/2026,2027.22,2590.17,2339.98
Maharashtra,Pune,Pune,Tomato,Local / Hybrid,15/06/2026,2199.58,2656.31,2317.9
Maharashtra,Pune,Pune,Tomato,Local / Hybrid,16/06/2026,2190.72,2788.17,2418.83
Maharashtra,Pune,Pune,Tomato,Local / Hybrid,17/06/2026,2261.59,2823.46,2420.66
Maharashtra,Pune,Pune,Tomato,Local / Hybrid,18/06/2026,2068.28,2499.3,2369.42
Maharashtra,Pune,Pune,Tomato,Local / Hybrid,19/06/2026,2128.08,2631.68,2414.03
Maharashtra,Pune,Pune,Tomato,Local / Hybrid,20/06/2026,2050.16,2804.08,2353.53
Maharashtra,Pune,Pune,Tomato,Local / Hybrid,22/06/2026,2219.28,2596.96,2366.89
Maharashtra,Pune,Pune,Tomato,Local / Hybrid,23/06/2026,2078.79,2518.82,2270.55
Maharashtra,Pune,Pune,Tomato,Local / Hybrid,24/06/2026,2080.65,2472.65,2210.04
Maharashtra,Pune,Pune,Tomato,Local / Hybrid,25/06/2026,1953.09,2422.16,2228.31
Maharashtra,Pune,Pune,Tomato,Local / Hybrid,26/06/2026,2059.03,2475.49,2272.32
Maharashtra,Pune,Pune,Tomato,Local / Hybrid,27/06/2026,2076.21,2707.48,2285.42
Maharashtra,Pune,Pune,Tomato,Local / Hybrid,29/06/2026,2031.95,2472.52,2283.24
Maharashtra,Pune,Pune,Tomato,Local / Hybrid,30/06/2026,2157.54,2558.89,2271.68
Maharashtra,Pune,Pune,Tomato,Local / Hybrid,01/07/2026,1891.47,2327.36,2201.71
Maharashtra,Pune,Pune,Tomato,Local / Hybrid,02/07/2026,1871.0,2486.33,2173.14
Maharashtra,Pune,Pune,Tomato,Local / Hybrid,03/07/2026,2006.15,2403.66,2158.99
Maharashtra,Pune,Pune,Tomato,Local / Hybrid,04/07/2026,1902.44,2459.81,2221.56
Maharashtra,Pune,Pune,Tomato,Local / Hybrid,06/07/2026,2132.38,2536.03,2245.53
Maharashtra,Pune,Pune,Tomato,Local / Hybrid,07/07/2026,2048.83,2550.72,2163.25
Maharashtra,Pune,Pune,Tomato,Local / Hybrid,08/07/2026,1863.84,2536.03,2189.8
Maharashtra,Pune,Pune,Tomato,Local / Hybrid,09/07/2026,2001.59,2464.57,2179.98
Maharashtra,Pune,Pune,Tomato,Local / Hybrid,10/07/2026,1890.62,2471.73,2156.56
Maharashtra,Pune,Pune,Tomato,Local / Hybrid,11/07/2026,1893.94,2452.69,2199.3
Maharashtra,Pune,Pune,Tomato,Local / Hybrid,13/07/2026,2024.87,2698.11,2261.48
Maharashtra,Pune,Pune,Tomato,Local / Hybrid,14/07/2026,2171.65,2523.54,2316.22
Maharashtra,Pune,Pune,Tomato,Local / Hybrid,15/07/2026,2052.49,2455.53,2280.4
Maharashtra,Pune,Pune,Tomato,Local / Hybrid,16/07/2026,2140.06,2684.16,2273.6
Maharashtra,Pune,Pune,Tomato,Local / Hybrid,17/07/2026,2023.57,2635.35,2299.92
Maharashtra,Pune,Pune,Tomato,Local / Hybrid,18/07/2026,2147.82,2529.87,2357.92
Maharashtra,Pune,Pune,Tomato,Local / Hybrid,20/07/2026,2168.41,2647.52,2341.06
Maharashtra,Pune,Pune,Tomato,Local / Hybrid,21/07/2026,2171.67,2643.73,2340.51
Maharashtra,Pune,Pune,Tomato,Local / Hybrid,22/07/2026,1950.65,2521.04,2294.73
Maharashtra,Pune,Pune,Tomato,Local / Hybrid,23/07/2026,1914.75,2673.1,2247.5
Maharashtra,Pune,Pune,Tomato,Local / Hybrid,24/07/2026,2160.67,2706.39,2303.8
Maharashtra,Pune,Pune,Tomato,Local / Hybrid,25/07/2026,2100.74,2525.15,2385.17
Maharashtra,Pune,Pune,Tomato,Local / Hybrid,27/07/2026,2242.96,2851.03,2391.72
Maharashtra,Pune,Pune,Tomato,Local / Hybrid,28/07/2026,2105.49,2753.72,2452.33
Maharashtra,Pune,Pune,Tomato,Local / Hybrid,29/07/2026,2123.77,2885.05,2478.37
Maharashtra,Pune,Pune,Tomato,Local / Hybrid,30/07/2026,2273.15,2623.17,2453.26
Maharashtra,Pune,Pune,Tomato,Local / Hybrid,31/07/2026,2226.02,2808.72,2480.17
Maharashtra,Pune,Pune,Tomato,Local / Hybrid,01/08/2026,2248.16,3028.81,2564.91
Maharashtra,Pune,Pune,Tomato,Local / Hybrid,03/08/2026,2290.58,2776.91,2567.01
Maharashtra,Pune,Pune,Tomato,Local / Hybrid,04/08/2026,2394.71,3071.74,2649.22
Maharashtra,Pune,Pune,Tomato,Local / Hybrid,05/08/2026,2191.16,2761.9,2518.24
Maharashtra,Pune,Pune,Tomato,Local / Hybrid,06/08/2026,2436.38,2944.35,2565.92
Maharashtra,Pune,Pune,Tomato,Local / Hybrid,07/08/2026,2301.05,2903.02,2574.43
Maharashtra,Pune,Pune,Tomato,Local / Hybrid,08/08/2026,2209.65,2777.64,2563.1
Maharashtra,Pune,Pune,Tomato,Local / Hybrid,10/08/2026,2272.86,2927.18,2571.66
Maharashtra,Pune,Pune,Tomato,Local / Hybrid,11/08/2026,2161.18,2681.1,2475.55
Maharashtra,Pune,Pune,Tomato,Local / Hybrid,12/08/2026,2119.0,2829.94,2472.29
Maharashtra,Pune,Pune,Tomato,Local / Hybrid,13/08/2026,2180.14,2961.69,2497.6
Maharashtra,Pune,Pune,Tomato,Local / Hybrid,14/08/2026,2412.16,2733.44,2577.19
Maharashtra,Pune,Pune,Tomato,Local / Hybrid,15/08/2026,2230.31,2936.18,2552.43
Maharashtra,Pune,Pune,Tomato,Local / Hybrid,17/08/2026,2190.58,2689.37,2513.79
Maharashtra,Pune,Pune,Tomato,Local / Hybrid,18/08/2026,2351.11,2829.79,2491.77
Maharashtra,Pune,Pune,Tomato,Local / Hybrid,19/08/2026,2279.96,2967.11,2541.0
Maharashtra,Pune,Pune,Tomato,Local / Hybrid,20/08/2026,2380.58,2758.64,2557.7
Maharashtra,Pune,Pune,Tomato,Local / Hybrid,21/08/2026,2174.93,2819.96,2529.89
Maharashtra,Pune,Pune,Tomato,Local / Hybrid,22/08/2026,2279.83,2861.56,2554.84
Maharashtra,Pune,Pune,Tomato,Local / Hybrid,24/08/2026,2359.83,2943.06,2556.95
Maharashtra,Pune,Pune,Tomato,Local / Hybrid,25/08/2026,2467.54,2770.25,2601.75
Maharashtra,Pune,Pune,Tomato,Local / Hybrid,26/08/2026,2279.07,2818.29,2560.0
Maharashtra,Pune,Pune,Tomato,Local / Hybrid,27/08/2026,2376.27,2759.89,2538.3
Maharashtra,Pune,Pune,Tomato,Local / Hybrid,28/08/2026,2184.48,2808.57,2513.73
Maharashtra,Pune,Pune,Tomato,Local / Hybrid,29/08/2026,2173.48,2659.71,2436.12
Maharashtra,Pune,Pune,Tomato,Local / Hybrid,31/08/2026,2143.45,2911.46,2449.71
Maharashtra,Pune,Pune,Tomato,Local / Hybrid,01/09/2026,2200.24,2901.14,2460.26
Maharashtra,Pune,Pune,Tomato,Local / Hybrid,02/09/2026,2223.6,2598.42,2456.93
Maharashtra,Pune,Pune,Tomato,Local / Hybrid,03/09/2026,2319.05,2869.5,2441.29
